epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.553852,1.96568,4.19435,1.788,0.00167,0.5,0.00134,0.00019,2.319,5.18592,2.34278,2e-05,2e-05,2e-05
2,0.884929,2.09586,4.458,1.90814,0.0025,0.75,0.00345,0.0012,2.70336,4.66533,2.16365,5.8812e-05,5.8812e-05,5.8812e-05
3,1.20109,2.13447,4.82332,1.92941,0.00083,0.25,0.00082,8e-05,3.12204,4.70039,2.39989,9.604e-05,9.604e-05,9.604e-05
4,1.51811,1.83933,5.38079,1.9585,0,0,0,0,3.317,4.7233,2.48426,0.000131684,0.000131684,0.000131684
5,1.8965,1.97948,4.38067,1.62574,0,0,0,0,3.28053,4.69705,2.57793,0.000165744,0.000165744,0.000165744
6,2.28148,1.63459,3.32182,1.51674,0,0,0,0,3.28427,4.70652,2.67145,0.00019822,0.00019822,0.00019822
7,2.65853,1.97245,4.05081,1.60888,0,0,0,0,3.35686,4.83627,2.72338,0.000229112,0.000229112,0.000229112
8,3.03759,1.57176,3.54187,1.40935,0,0,0,0,3.39992,4.98136,2.74649,0.00025842,0.00025842,0.00025842
9,3.4193,1.67975,2.99963,1.36226,0,0,0,0,3.35416,5.07359,2.75599,0.000286144,0.000286144,0.000286144
10,3.78855,1.72572,2.36401,1.309,0,0,0,0,3.30869,5.03635,2.75339,0.000312284,0.000312284,0.000312284
11,4.17792,1.52405,2.18735,1.271,0,0,0,0,3.34035,5.01321,2.75054,0.00033684,0.00033684,0.00033684
12,4.53349,1.45395,2.37453,1.18307,0,0,0,0,3.34035,5.01321,2.75054,0.000359812,0.000359812,0.000359812
13,4.9242,1.62514,2.38156,1.23675,0,0,0,0,3.32237,4.93812,2.71752,0.0003812,0.0003812,0.0003812
14,5.30361,1.38849,2.61027,1.1936,0,0,0,0,3.04267,4.98685,2.58824,0.000401004,0.000401004,0.000401004
15,5.66093,1.69995,2.1864,1.26747,0,0,0,0,3.04267,4.98685,2.58824,0.000419224,0.000419224,0.000419224
16,6.22271,1.36608,2.32454,1.18964,0.00083,0.25,0.00177,0.00018,2.37483,4.75567,2.42973,0.00043586,0.00043586,0.00043586
17,6.60228,1.42975,2.7416,1.24141,0.00083,0.25,0.24532,0.09813,2.34452,4.30593,2.22769,0.000450912,0.000450912,0.000450912
18,6.97199,1.36389,2.12661,1.14883,0.00083,0.25,0.24532,0.09813,2.34452,4.30593,2.22769,0.00046438,0.00046438,0.00046438
19,7.35512,1.37187,2.3994,1.09743,0.8128,0.25,0.24754,0.12377,2.26635,4.15397,2.10325,0.000476264,0.000476264,0.000476264
20,7.70905,1.38334,1.74804,1.13984,0.8128,0.25,0.24754,0.12377,2.26635,4.15397,2.10325,0.000486564,0.000486564,0.000486564
21,8.10696,1.23914,3.94843,1.1191,1,0.46717,0.4968,0.2484,2.15857,3.81399,1.7276,0.00049528,0.00049528,0.00049528
22,8.45652,1.36457,2.54847,1.14311,1,0.46717,0.4968,0.2484,2.15857,3.81399,1.7276,0.000502412,0.000502412,0.000502412
23,8.85326,1.40841,1.96419,1.11625,1,0.60539,0.74533,0.35574,1.90979,3.47453,1.4367,0.00050796,0.00050796,0.00050796
24,9.22062,1.29179,1.70121,1.05282,1,0.60539,0.74533,0.35574,1.90979,3.47453,1.4367,0.000511924,0.000511924,0.000511924
25,9.60237,1.28462,2.01786,1.06696,1,0.69156,0.74533,0.35574,1.69358,3.26715,1.35992,0.000514304,0.000514304,0.000514304
26,9.96981,1.26128,2.13759,1.08425,1,0.69156,0.74533,0.35574,1.69358,3.26715,1.35992,0.0005151,0.0005151,0.0005151
27,10.3339,1.37969,2.08016,1.11359,1,0.69156,0.74533,0.35574,1.69358,3.26715,1.35992,0.000514312,0.000514312,0.000514312
28,10.7211,1.36199,2.26916,1.08727,0.92296,0.75,0.74533,0.43027,1.63342,3.11435,1.34075,0.00051194,0.00051194,0.00051194
29,11.2552,1.24163,1.73005,1.00421,0.92296,0.75,0.74533,0.43027,1.63342,3.11435,1.34075,0.000507984,0.000507984,0.000507984
30,11.6395,1.12692,2.31582,1.06341,0.94642,0.75,0.74533,0.48403,1.49287,2.98119,1.35876,0.000502444,0.000502444,0.000502444
31,12.0068,1.30769,2.00017,1.07332,0.94642,0.75,0.74533,0.48403,1.49287,2.98119,1.35876,0.00049532,0.00049532,0.00049532
32,12.3684,1.42219,2.06584,1.11566,0.94642,0.75,0.74533,0.48403,1.49287,2.98119,1.35876,0.000486612,0.000486612,0.000486612
33,12.7574,1.13896,2.07535,1.04847,0.97899,0.75,0.74602,0.48431,1.45725,2.81323,1.29604,0.00047632,0.00047632,0.00047632
34,13.1253,1.32542,1.9969,1.09183,0.97899,0.75,0.74602,0.48431,1.45725,2.81323,1.29604,0.000464444,0.000464444,0.000464444
35,13.488,1.2006,1.87714,1.03553,0.97899,0.75,0.74602,0.48431,1.45725,2.81323,1.29604,0.000450984,0.000450984,0.000450984
36,13.8731,1.27708,1.54893,1.04242,0.98604,0.75,0.75326,0.42657,1.53854,2.63565,1.25489,0.00043594,0.00043594,0.00043594
37,14.2381,1.29195,1.83936,1.14292,0.98604,0.75,0.75326,0.42657,1.53854,2.63565,1.25489,0.000419312,0.000419312,0.000419312
38,14.5926,1.5896,2.14064,1.0261,0.98604,0.75,0.75326,0.42657,1.53854,2.63565,1.25489,0.0004011,0.0004011,0.0004011
39,14.9883,1.23508,2.19669,1.06673,0.98165,0.75,0.85611,0.45532,1.70075,2.41571,1.26581,0.000381304,0.000381304,0.000381304
40,15.3372,1.27324,1.96652,1.05726,0.98165,0.75,0.85611,0.45532,1.70075,2.41571,1.26581,0.000359924,0.000359924,0.000359924
41,17.4868,1.22212,2.11427,1.04357,0.98165,0.75,0.85611,0.45532,1.70075,2.41571,1.26581,0.00033696,0.00033696,0.00033696
