epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,19.4941,1.10394,0.8433,1.11721,0.70098,0.75,0.7825,0.4675,1.48072,1.54766,1.56184,0.0581963,0.000196291,0.000196291
44,19.9689,1.21538,0.71728,1.08745,0.70098,0.75,0.7825,0.4675,1.48072,1.54766,1.56184,0.0571976,0.000197559,0.000197559
45,20.661,1.40232,0.86031,1.33006,1,0.4989,0.76583,0.51277,1.31851,1.584,1.46817,0.0561987,0.000198669,0.000198669
46,21.133,1.02504,0.74094,1.02347,1,0.4989,0.76583,0.51277,1.31851,1.584,1.46817,0.0551996,0.00019962,0.00019962
47,21.6543,1.14676,0.72828,1.08073,0.99551,0.5,0.72,0.45129,1.45966,1.78675,1.55738,0.0542004,0.000200413,0.000200413
48,22.0753,1.18374,0.80253,1.17787,0.99551,0.5,0.72,0.45129,1.45966,1.78675,1.55738,0.053201,0.000201047,0.000201047
49,22.5443,1.32519,0.93644,1.21389,0.97125,0.5,0.82833,0.34502,1.76445,1.84415,1.77669,0.0522015,0.000201523,0.000201523
50,22.9669,1.32448,0.80954,1.18557,0.97125,0.5,0.82833,0.34502,1.76445,1.84415,1.77669,0.0512018,0.000201841,0.000201841
51,23.4241,0.92285,0.72331,1.10959,1,0.67824,0.88786,0.41038,1.83694,1.86537,1.84835,0.050202,0.000202,0.000202
52,23.8543,1.34301,0.75076,1.25131,1,0.67824,0.88786,0.41038,1.83694,1.86537,1.84835,0.049202,0.000202001,0.000202001
53,24.2917,1.17924,0.76329,1.13651,1,0.67824,0.88786,0.41038,1.83694,1.86537,1.84835,0.0482018,0.000201843,0.000201843
54,24.7429,1.30263,0.81105,1.20769,0.95813,0.75,0.945,0.49422,1.58813,1.55432,1.6462,0.0472015,0.000201527,0.000201527
55,25.2148,0.99342,0.68017,1.05683,0.95813,0.75,0.945,0.49422,1.58813,1.55432,1.6462,0.0462011,0.000201053,0.000201053
56,25.7013,1.05294,0.68023,1.09466,0.95813,0.75,0.945,0.49422,1.58813,1.55432,1.6462,0.0452004,0.00020042,0.00020042
57,26.2054,1.14541,0.80712,1.17699,1,0.8881,0.995,0.7313,1.20689,1.33651,1.35436,0.0441996,0.000199629,0.000199629
58,26.6859,1.01213,0.77285,1.11353,1,0.8881,0.995,0.7313,1.20689,1.33651,1.35436,0.0431987,0.000198679,0.000198679
59,27.1678,0.94948,0.78317,1.01675,1,0.8881,0.995,0.7313,1.20689,1.33651,1.35436,0.0421976,0.000197571,0.000197571
60,27.8614,0.96594,0.66125,1.02614,1,0.94796,0.995,0.74117,1.20432,1.23467,1.34493,0.0411963,0.000196305,0.000196305
61,28.3381,1.053,0.77649,1.08136,1,0.94796,0.995,0.74117,1.20432,1.23467,1.34493,0.0401949,0.00019488,0.00019488
62,28.8131,1.11435,0.72765,1.08251,1,0.94796,0.995,0.74117,1.20432,1.23467,1.34493,0.0391933,0.000193297,0.000193297
63,29.3201,1.1472,0.76727,1.14352,1,0.95678,0.995,0.70943,1.30991,1.24329,1.39208,0.0381916,0.000191555,0.000191555
64,29.7511,1.05469,0.6724,1.16978,1,0.95678,0.995,0.70943,1.30991,1.24329,1.39208,0.0371897,0.000189655,0.000189655
65,30.1759,1.31872,0.91171,1.31715,1,0.95678,0.995,0.70943,1.30991,1.24329,1.39208,0.0361876,0.000187597,0.000187597
66,30.6416,0.92641,0.7317,1.09545,1,0.94335,0.995,0.7314,1.25888,1.36431,1.36453,0.0351854,0.00018538,0.00018538
67,31.0715,1.05103,0.71617,1.13076,1,0.94335,0.995,0.7314,1.25888,1.36431,1.36453,0.034183,0.000183005,0.000183005
68,31.5213,1.00021,0.62545,1.1,1,0.94335,0.995,0.7314,1.25888,1.36431,1.36453,0.0331805,0.000180471,0.000180471
69,31.9756,0.91499,0.63148,0.9698,1,0.92318,0.995,0.76125,1.1748,1.57063,1.3002,0.0321778,0.000177779,0.000177779
70,32.4549,1.10053,0.66955,1.06893,1,0.92318,0.995,0.76125,1.1748,1.57063,1.3002,0.0311749,0.000174929,0.000174929
71,32.9296,0.89621,0.64514,1.07771,1,0.92318,0.995,0.76125,1.1748,1.57063,1.3002,0.0301719,0.00017192,0.00017192
72,33.4302,0.94358,0.67245,1.13806,1,0.91671,0.995,0.77319,1.11114,1.64073,1.24701,0.0291688,0.000168753,0.000168753
73,33.905,1.47013,0.83022,1.19439,1,0.91671,0.995,0.77319,1.11114,1.64073,1.24701,0.0281654,0.000165427,0.000165427
74,34.3913,1.1368,0.80893,1.18551,1,0.91671,0.995,0.77319,1.11114,1.64073,1.24701,0.0271619,0.000161943,0.000161943
75,35.0654,0.79584,0.60275,0.95818,1,0.94202,0.995,0.77577,1.03564,1.51944,1.21717,0.0261583,0.000158301,0.000158301
76,35.5536,0.99731,0.64339,1.10065,1,0.94202,0.995,0.77577,1.03564,1.51944,1.21717,0.0251545,0.0001545,0.0001545
77,36.028,1.10654,0.61572,1.08894,1,0.94202,0.995,0.77577,1.03564,1.51944,1.21717,0.0241505,0.000150541,0.000150541
78,36.5385,0.90722,0.59943,1.02753,0.96217,0.75,0.945,0.76977,1.03548,1.43494,1.21996,0.0231464,0.000146423,0.000146423
79,36.9636,0.91289,0.63702,1.03919,0.96217,0.75,0.945,0.76977,1.03548,1.43494,1.21996,0.0221421,0.000142147,0.000142147
80,37.4027,0.91078,0.61063,1.06019,0.96217,0.75,0.945,0.76977,1.03548,1.43494,1.21996,0.0211377,0.000137713,0.000137713
81,37.8591,1.19753,0.6825,1.11167,0.97447,0.75,0.945,0.77114,1.13707,1.36014,1.28519,0.0201331,0.00013312,0.00013312
82,38.2993,0.89935,0.68403,1.00046,0.97447,0.75,0.945,0.77114,1.13707,1.36014,1.28519,0.0191284,0.000128369,0.000128369
83,38.7263,0.99216,0.61877,1.00795,0.97447,0.75,0.945,0.77114,1.13707,1.36014,1.28519,0.0181235,0.000123459,0.000123459
84,39.1805,1.12891,0.651,1.1034,0.97753,0.75,0.945,0.6864,1.33381,1.36785,1.4139,0.0171184,0.000118391,0.000118391
85,39.6228,0.98624,0.65802,1.04876,0.97753,0.75,0.945,0.6864,1.33381,1.36785,1.4139,0.0161132,0.000113165,0.000113165
86,40.054,1.01242,0.62652,1.03985,0.97753,0.75,0.945,0.6864,1.33381,1.36785,1.4139,0.0151078,0.00010778,0.00010778
87,40.5002,1.15875,0.71397,1.14954,0.97753,0.75,0.945,0.6864,1.33381,1.36785,1.4139,0.0141022,0.000102237,0.000102237
88,40.9553,1.35538,0.76476,1.2079,0.9787,0.75,0.945,0.65608,1.37264,1.33976,1.46577,0.0130965,9.65352e-05,9.65352e-05
89,41.3848,0.94131,0.55306,1.011,0.9787,0.75,0.945,0.65608,1.37264,1.33976,1.46577,0.0120907,9.06752e-05,9.06752e-05
90,41.9933,0.84416,0.5263,0.93884,0.9787,0.75,0.945,0.65608,1.37264,1.33976,1.46577,0.0110847,8.46568e-05,8.46568e-05
91,44.3093,1.19541,0.67513,1.22824,0.9787,0.75,0.945,0.65608,1.37264,1.33976,1.46577,0.0100785,7.848e-05,7.848e-05
92,44.9036,1.26624,0.68602,1.31307,0.98069,0.75,0.945,0.6663,1.28897,1.24335,1.4164,0.00907214,7.21448e-05,7.21448e-05
93,45.4339,1.24817,0.62252,1.27931,0.98069,0.75,0.945,0.6663,1.28897,1.24335,1.4164,0.00806565,6.56512e-05,6.56512e-05
94,45.8637,1.14451,0.60672,1.23184,0.98069,0.75,0.945,0.6663,1.28897,1.24335,1.4164,0.007059,5.89992e-05,5.89992e-05
95,46.3056,1.42967,0.69668,1.37534,0.98069,0.75,0.945,0.6663,1.28897,1.24335,1.4164,0.00605219,5.21888e-05,5.21888e-05
96,46.7623,1.07509,0.61499,1.17562,0.98186,0.75,0.945,0.6951,1.18653,1.13416,1.37419,0.00504522,4.522e-05,4.522e-05
97,47.1902,1.27611,0.67805,1.39527,0.98186,0.75,0.945,0.6951,1.18653,1.13416,1.37419,0.00403809,3.80928e-05,3.80928e-05
98,47.627,1.22851,0.70422,1.31394,0.98186,0.75,0.945,0.6951,1.18653,1.13416,1.37419,0.00303081,3.08072e-05,3.08072e-05
99,48.0558,1.37431,0.7267,1.42026,0.98186,0.75,0.945,0.6951,1.18653,1.13416,1.37419,0.00202336,2.33632e-05,2.33632e-05
100,48.5191,0.9861,0.60766,1.07817,1,0.97663,0.995,0.72387,1.15487,1.01171,1.3585,0.00101576,1.57608e-05,1.57608e-05
